id	name	type	constlevel	mainpath	mainlevel	secondarypath	secondarylevel	weapon	armor	shockres	fireres	coldres	poisonres	darkvision	airshield	limitedregeneration	woundfend	fixforge	autodishealer	healer	alch	insa	hp	protf	protb	mr	morale	str	att	def	prec	enc	mapspeed	ap	reinvigoration	pen	stealth	stealthb	forest	mount	waste	swamp	fly	float	sailingshipsize	sailingmaxunitsize	waterbreathing	giftofwater	airbr	flytr	quick	eth	trample	bless	luck	foolsluck	barkskin	stoneskin	ironskin	curse	disease	cursed	taint	ldr-n	ldr-u	ldr-m	inspirational	fear	awe	animalawe	exp	chill	heat	gold	F	A	W	E	S	D	N	B	H	firerange	airrange	waterrange	earthrange	astralrange	deathrange	naturerange	bloodrange	tmpfiregems	tmpairgems	tmpwatergems	tmpearthgems	tmpastralgems	tmpdeathgems	tmpnaturegems	tmpbloodslaves	gf	ga	gw	ge	gs	gd	gn	gb	berserk	bers	fireshield	banefireshield	iceprot	bloodvengeance	pillagebonus	patrolbonus	castledef	supplybonus	researchbonus	heretic	douse	void	diseasecloud	poisoncloud	reaper	crossbreeder	ivylord	spelleffect	startbattlespell	autocombatspell	itemspell	ritual	sumrit	#sumrit	sumauto	#sumauto	sumbat	#sumbat	affliction	restrictions	special	regeneration	restricted1	restricted2	restricted3	restricted4	restricted5	restricted6	aging	corpselord	lictorlord	bloodsac	mastersmith	eyeloss	armysize	defender	cannotwear	reanimH	reanimD	dragonmastery	patience	retinue	noforgebouus	crown	hpbonus	twistfate	nationrebate1	nationrebate2	mason	itemcost1	itemcost2	blesssacredonly	returning	warning	mapmovebonus	slowaging	transformwearer	feeblemindprovince	supayasummonbonus	curseattacker	seduction	bearergainsinsanity	bearergainsinsanitypermonth	infernoret	kokytosret	heataura	wintermove	unhindered	floating	spiritsight	invisibility	diseasegrinder	agingreductiontoallunits	fastcasting	petrification	xpgainpermonth	extralife	bloodsearcher	animalawe2	stormpower	batstartsum2	batstartsum3	batstartsum5d6	iceprot2	goldgen	magiceye	damagereversal	mustfightinarena	inquisitor	assassin	spreaddeathormisfortune	coldaura	flyingmaxtotalsize	flyingmapmove	arenareward	swiftness	taskmaster	leper	siegebonus	invulnerable	horrormarkattacker	entangle	minsizetoequip	maxsizetoequip	minstrtoequip	minhandstoequip	deathgemonkill	deathexplosion	chanceofattackbyknights	singleuse	domspreader	allunitslooklikebearertoscouts	monstermustbepresent	banishkiller	onlyuseablebyfliersormounted	masterritualist	stunattackers	eatforyouth	startitem	swimming	localsun	poisonarmor	curserandomunits	voidbanishchance	voidret	chancetobecomewerewolf	stormimmune	farsail	lesserhorrorattackchance	islance	commaster	comslave	nofind	chestwound	feeblemind	enlargement	limitedenlargement	antimagic	soulvortex	end
244	Pebble Skin Suit	armor	8	B	4	E	1									10												2																														1				1																1																																																																														1073741824																				518																																																																																			
245	Boots of Long Strides	boots	0	N	1																																																																																																																																																																									6																																									100																																												
246	Chi Shoes	boots	2	A	1			175																																																																																																																																																														52	10																																																																																												
247	Boots of the Behemoth	boots	2	E	1																																																1																																																																																																																																																																																																														
248	Boots of Giant Strength	boots	2	E	1																							5																																																																																																																																																																																																																																							
249	Birch Boots	boots	2	N	1							5																												1																																																																																																																																																		1																																																																									
250	Ranger's Boots	boots	2	N	1																														2			20	1																																																																																																																																																																																																																												
251	Brimstone Boots	boots	4	F	1	E	1				15																	4													1																																																																																																																																																																																																																										
252	Winged Shoes	boots	4	A	2																																						1																																																																																																																																																																										20																																														
253	Earth Boots	boots	4	E	2																																																																									1																																																																																																																																																																																					
254	Boots of the Messenger	boots	4	N	1																														3																																																																																																																																											9																																																																																					
255	Boots of Quickness	boots	6	W	2																																														1																																																																																																																											12																																																																																					
256	Boots of Stone	boots	6	E	2																																			1																		1																																																																																																																																																																																																									
257	Boots of Youth	boots	6	B	2																														3																																																																																																																																												90																																																																																				
258	Boots of Antaeus	boots	8	E	4	N	1									10																			5																																											1																																																																																																6																																																																																					
259	Sandals of the Crane	boots	8	S	1																																																																																																																												Blink																																																																																																																																		
260	Boots of the Planes	boots	8	S	5																																															1											50																																																																			Teleport																																																					20	20																																																											1																
261	The Boots of Calius the Druid	boots	8	N	4																														10																																																																																																																																											9																																																																																					
262	Ring of Fire	misc	0	F	1						15																																																																																																																																																																																																																																																								
263	Ring of Tamed Lightning	misc	0	A	1					15																																																																																																																																																																																																																																																									
264	Ring of Frost	misc	0	W	1							15																																																																																																																																																																																																																																																							
265	Bear Claw Talisman	misc	0	E	1	N	1																				2	5																																																																																																																																																																																																																																							
266	Rabbit Foot Charm	misc	0	S	1																																																																																																																																																																1																																																																																														
267	Skull Talisman	misc	0	D	1																																																												5																																																																																																-2																																																																																																		
268	Snake Ring	misc	0	N	1								30																																																																																																																					Poison Touch																																																																																																																																	
269	Slave Collar	misc	0	B	1																						20																																			1																																																																																																		1																																																																														6														1		1					
270	Burning Pearl	misc	2	F	1						5																		4																																																																																																																																			-1																																																																																																			
271	Fire in a Jar	misc	2	F	1							5																																																																																1																																																																																																																																																																							
272	Ring of Warning	misc	2	A	1																																																																																																														10																																																										5																																																																																						
273	Ring of Levitation	misc	2	A	1																																																																																																																																																																																							1																																																																							
274	Owl Quill	misc	2	A	1																																																																																																																	6																																																																																																																																													
275	Eye of Aiming	misc	2	A	1																										8																															1																																																																																																																																															1																																															1							
276	Amulet of Missile Protection	misc	2	A	2										80																																																																																																																																																																																																																																																				
277	Amulet of Breathing	misc	2	A	2																																										1																																																																																																																																																																																																																				
278	Gossamer Cloth	misc	2	A	2	N	1																																																																																																																																																			-25												18																																																																																													
279	Ring of Water Breathing	misc	2	W	1																																										1																																																																																																																																																																																																																				
280	Flask of Holy Water	misc	2	W	1																																																																																																																																																																						1																																																																																								
281	Clam of Pearls	misc	2	W	1	N	1																																																																																									2																																																																						75	38																																																																																												
282	Bracers of Protection	misc	2	E	1				76																																																																																																																																																																																																																																																										
283	Lodestone Amulet	misc	2	E	1																					2																																																																																																																																																																																																																																									
284	Wound Fend Amulet	misc	2	E	1	S	1										2																																																																																																																																																																																																																																																		
285	The Pebble Pouch	misc	2	E	1			546																																																																																																																																																																																																																						4		20	2																																		
286	Stone Bird	misc	2	E	1	A	1	176																																																																																																																																																																																																																																																											
287	Cat's Eye Amulet	misc	2	E	1									50																								20																																																																																																																																																																																																																													
288	Pendant of Luck	misc	2	S	1																																																		1																																																																																																																																																																																																												
289	Champion's Skull	misc	2	D	1																																																																																																																																																																																														3																																																																
290	Effigy of War	misc	2	D	1	N	1																																																																																																																																																			50																																																																																																									
291	Handful of Acorns	misc	2	N	1																																																													1																																																																																																																																							361																																																										
292	Barkskin Amulet	misc	2	N	1																																																				1																																																																																																																																																																																																										
293	Cat Charm	misc	2	N	2																									4																																																																																																																																																																																																																																					
294	Enormous Cauldron of Broth	misc	2	N	3																																																																																																																100																																																																																																																																														
295	Ring of the Warrior	misc	2	B	1																						2		5																																																																																																																																																																																																																																						
296	Imp Familiar	misc	2	B	1																																																									1	1		1																																																					3																																											2287																																																																																											1							
297	Soul Contract	misc	2	B	3	F	1																																																							1	10		10																																																																					304																																85			500																																																																																			1							
298	Medallion of Vengeance	misc	4	F	1																																																																																																																																																																																																																														10																																
299	Pills of Water Breathing	misc	4	A	2																																											20																																																																																																																																																																																																																			
300	Dancing Trident	misc	4	A	1			121																																																																																																																																																																																																																																																											
301	Storm Spool	misc	4	A	1					15																																																																																																																																											2																																																																																							1																							
302	Wall Shaker	misc	4	A	3																																																																																																																													Panic																																				28																																																				25																																									
303	Bag of Winds	misc	4	A	5																																																													1										1																																																				Summon Lesser Air Elemental																																																																																																																																			
304	Flying Carpet	misc	4	A	3																																																																																																																																																																	72	33																																													14	20																																														
305	Dancing Shield	misc	4	A	1	E	1																	20																																																																																																																																																																																																																																											
306	Enchanted Mirror	misc	4	A	2																																																																																																																																																					75																																																																																																									
307	Cauldron of the Elven Halls	misc	4	A	3																																																																																																																																																					-75												20	60																																																																																												
308	Amulet of the Fish	misc	4	W	1	A	1																																										1																																																																																																																																																																																																																		
309	Manual of Water Breathing	misc	4	N	3	W	1																																									50																																																																																																																																																																																																																			
310	Girdle of Might	misc	4	E	1																							3							3																																																																																																																																																																																																																																
311	Crystal Matrix	misc	4	E	1	S	1																																																																																																																																																																																																																																																			1									
312	Slave Matrix	misc	4	E	1	S	1																																																																																																																																																																																																																																																				1								
313	Amulet of Antimagic	misc	4	S	1																					4																																																																																																																																																																																																																																									
314	Spell Focus	misc	4	S	1																															1																				1																																																																																																																																																																																																											
315	Eye of the Void	misc	4	S	1																					-2										2																										1	3																																																																																																																														1																1																																															1							
316	Stone Sphere	misc	4	S	2	E	1																																																								3																																																																			Astral Window																																																																																																																																	
317	Crystal Coin	misc	4	S	2	E	2																																																																								1																																																																																																																																																																																				
318	Amulet of the Dead	misc	4	D	1																																																												5																																																																	Animate Skeleton																											2	2																																																																																																					
319	Skull Mentor	misc	4	D	2																																																																																																																	14																																																																																																																																													
320	Bane Venom Charm	misc	4	D	2																																																								1																																																																																																																																																												5																																										
321	Horn of Valor	misc	4	N	1																																																														1																																																																																																																																																																																																
322	Acorn Necklace	misc	4	N	1	E	1			15																																													1																																																																																																																																																																																																												
323	Endless Bag of Wine	misc	4	N	1																																																																																																																50																																																																																																																																														
324	Amulet of Giants	misc	4	N	1																																																																																																																																																																																																																																																											1			
325	Lychantropos' Amulet	misc	4	N	2									50		10												4																																		1																																															1																																																																																																																																								2														
326	Ring of Regeneration	misc	4	N	2											10																																																																																																																																																																																																																																																			
327	Amulet of Resilience	misc	4	N	2																														5																																																																																																																																																																																																																																
328	Cornucopia	misc	4	N	3																																																																																													2																			50																																																																																																																																														
329	Miraculous Cure All Elixir	misc	4	N	5														1																																																																																																																																																																																																																																																
330	Astral Serpent	misc	4	N	1	S	1	177					5																																																																																																																																																									81	98																																																																																												
331	Sanguine Dowsing Rod	misc	4	B	1																																																																																																																																																																																																1																																																														
332	Brazen Vessel	misc	4	B	5																																																																													1																																																																																																					20	20																																																																											
333	The Heart of Life	misc	4	B	3								5																						10																											1																																																																																														1073741824																			50																																																																													1	1						
334	Lifelong Protection	misc	4	B	2																																																									1	5		5																																																																Summon 2 Imps																																					85			300														10																																																																					1							
335	Blood Stone	misc	4	B	3	E	2																																																																							1																	1																																																																																																																																																																				
336	Water Lens	misc	4	W	1																																																																																	1								1																																																																																																																																																																					
337	Lightless Lantern	misc	6	F	1									100																																																	3																																																							12																																																																																																																														10															
338	Skull of Fire	misc	6	F	1	D	1					-5																																																															1																																																																																																																																																																																								
339	Barrel of Air	misc	6	A	4																																											150																																																																																																																																																																																																																			
340	Mirror of False Impressions	misc	6	A	4																																																											-20																																																																																																																																																																							1																												
341	Water Bracelet	misc	6	W	1																																																																								1																																																																																																																																																																																						
342	Bottle of Living Water	misc	6	W	2																																																													1																																																																																															409																																																																																																		
343	Sea King's Goblet	misc	6	W	3																																											100																																																																																																																																																																																																																			
344	Mercury Barrel	misc	6	W	1	E	1																																																											1																																																																												90																			2515																																																																																																		
345	The Copper Arm	misc	6	E	3	F	1																																																							1																																																																																																								49																																																																																													
346	Crystal Heart	misc	6	E	2	S	2																																																							1																																																																																														1073741824																																								1																																																						1		1	1						
347	Stone Idol	misc	6	E	2	S	2																																																																																																																3																																															72																																																																																													
348	Eye Pendant	misc	6	E	3	D	3												1																																																																																																10																																																										5																																																																																						
349	Arcane Lens	misc	6	S	3																																																																															1	1	1	1	1	1	1	1																																																																																																																																																																								
350	Eye of Innocence	misc	6	S	2																																	40																								1																																																																																																																																															1																																															1							
351	Ring of Wizardry	misc	6	S	7																															1																																							1	1	1	1	1	1	1	1																																																																																																																																																																																	
352	Ring of Sorcery	misc	6	S	6																															1																																											1	1	1	1																																																																																																																																																																																	
353	Elixir of Life	misc	6	N	2	F	2																																																																																																																																																																								80																					1																																																															
354	Pocket Ship	misc	6	N	3	A	2																																						200	4																																																																																																																																																																																																																					
355	Moonvine Bracelet	misc	6	N	3	S	1																																																																										1																																															Summon Vine Man																																																																																																																																			
356	The Black Heart	misc	6	B	2																						2																																			1																																																																																														1073741824																																																					1																																											1	1						
357	Blood Pendant	misc	6	B	2									50														2																																																															1																																																																																																																																																																								
358	The Ruby Eye	misc	8	F	3																																																									1													1																											2																																																																																																							1																																															1							
359	Fever Fetish	misc	8	F	1	N	1																																																						1																																							2																																																																																																																																																															
360	The Ark	misc	8	F	5	S	5																																																																																																																									Ark																																																							100	100																																														2																													
361	Amulet of the Doppelganger	misc	8	A	2																																50																																																																																																																																															9																																																																															
362	The Flying Ship	misc	8	A	5																																																																																																																																																																																																															500	26																																														
363	Igor Könhelm's Tome	misc	8	A	2	D	2																																																																																																																																														10																																																		5																																																												
364	Tome of High Power	misc	8	A	2	S	2																																																								5													1			1					2	2	2	2	2	2	2	2																																																																																																																																																																								
365	The Magic Lamp	misc	8	A	5	F	4																																																																																																																											Summon Jinn																																				72																																																															1																														
366	Krupp's Bracers	misc	8	E	2				78																										3																																																																																																																																																																																																																																
367	Draupnir	misc	8	E	5																																																																																																																																																																																																							200																																																							
368	The First Anvil	misc	8	E	6																																																																																																																																																			1																																																																																																											
369	Holger the Head	misc	8	E	1	D	1																																																																																																														-3											Grow Headless Hoburg																																									-40	-60																																																																																									
370	Percival the Pocket Knight	misc	8	E	1	N	1																																																																																																																									Grow Knight																																																																																																																																			
371	Alchemist's Stone	misc	8	E	1	F	1				5	5									50																																																																																																																																																																																																																																														
372	Gate Stone	misc	8	E	7	S	7																																																																																																																											Astral Travel																																																																																																																																	
373	Atlas of Creation	misc	8	E	5	S	5																																																								5															1	1		1																																																	Record of Creation																																																																																																																																	
374	Bell of Cleansing	misc	8	W	2						5																																																																																																																						Cleansing Chime																																																																																																																																		
375	Orb of Atlantis	misc	8	W	4	E	1																																									200																		10											1																																																			Friendly Currents		Summon Lesser Water Elemental																																																																																																																																	
376	The Astral Harpoon	misc	8	S	5	B	1																																																																																																																											Astral Harpoon																																																																																																																																	
377	The Forbidden Light	misc	8	S	5	F	5				5	5																																																		1	50												2				2																					1																												Solar Brilliance																				1																																																																																												1				25				20											
378	Nethgul	misc	8	S	3	W	2																																																																																																																										Nethgul																																																																																																																			-4															
379	The Black Mirror	misc	8	S	4	B	2																			-4																																		1																																																																					Disbelieve	Mind Hunt																																																																																104																																																	
380	The Horror Harmonica	misc	8	S	5	D	4																				-2																																				30																																																																	Wailing Winds		Call Horror																																																																																																																																	
381	Tome of the Lower Planes	misc	8	S	3	B	2																																																																											1																																																																																																					50	50																																																																											
382	Carcator the Pocket Lich	misc	8	D	4																																																												20																																																					4										Grow Lich																																																																																																																		3																	
383	The Ankh	misc	8	D	5					5																																																					3																																																																	Life after Death																																																																																																																																			
384	Disease Grinder	misc	8	D	3	F	1																																																																																																																																																																																								1																																																																				
385	The Black Book of Secrets	misc	8	D	2	B	2																																																													5												1		1																																																																																																																																																																																	
386	The Green Eye	misc	8	N	2																															2																										1																																																																			Sleep																																																																												1																																															1							
387	Wondrous Box of Monsters	misc	8	N	4																																																																																																																												Grow Monster																																																																																																																																		
388	Fountain of Youth	misc	8	N	3	F	3																																																																																																																																																																																									75																																																																			
389	Midget's Revenge	misc	8	N	1	W	1																					2	3	3																																																																																																																																						10																																																							20				1																																1				
390	Soulstone of the Wolves	misc	8	N	6	E	1																																																																																																																									Howl		Call of the Wild																																																																																																																																	
391	The Chalice	misc	8	N	5	S	3													5																																																																																																														Banishment																																													100																																																					10																															
392	The Tome of Gaia	misc	8	N	2	E	2																																																																							1			1																																																																																																																																																																																		
393	The Protection of Geryon	misc	8	B	3																																																									1																																																																																																											100																																																															2277	-12																			1							
394	The Manual of Cross Breeding	misc	8	B	3	N	3																																																								5																																																														20																																																																																																																																						
395	The Gift of Kurgi	misc	8	B	5				94															20																			1									1								1		1	20					30																																																												Call Lesser Horror		Send Lesser Horror																									307																										10	2																																																													2	5		1													
396	Ardmon's Soul Trap	misc	8	B	3	S	1																					-2							-1																																																																																													Open Soul Trap																																																																																																																																			
397	Shortsword	2-h wpn	12	E	3			132							80																																																																																																																																																																																																																																																				
398	Hammer of the Cyclops	2-h wpn	12	E	6			119																																																																																																																																																1																																																																																																											
399	The Admiral's Sword	1-h wpn	12	D	3			186																																																												5																																																																																																																																																																																															
400	Precious	misc	12	F	2																							4	4																																																																																																																																																																																																																																						
401	Vial of Frozen Tears	misc	12	W	4	D	3																																																																						1			1																																																																																																																																																																																			
402	Crown of Katafagus	crown	12	D	6				212	15	15																																																			1						5												1																																																						398																													1																																																																																																
403	Crown of Ptah	crown	12	F	5	D	6		212																	3	4																																	1		1						10																																																												Power of the Sepulchre		Control the Dead																																	1																																																																																																
404	Robe of the Sorceress	armor	12	E	5	S	5		98																																																																						1	1	1	1																																																																																																																																																																																	
405	Sun Armor	armor	12	F	4				95																		4																																										3																																																																																																																																																																																														
406	Sun Helmet	helm	12	F	4				96																	5																																											1																																																																																																																																																																																														
407	Sun Sword	1-h wpn	12	F	4			275																																														1										25																																													1																																																																																																																																																						
408	Sun Shield	shield	12	F	4				97	15	15																																																										1																																																																																																																																																																																														
409	Greenstone Armor	armor	12	E	3				108																																																																																																																																																																																																																																																										
410	Dragon Pearl	misc	10	W	5	S	5																																								1															1															1																	1																																																																																																																																																1																					
411	Dragon Pearl	misc	10	W	5	S	5																																								1															1																	1																	1																																																																																																																																														2																					
412	Pearl of Light	misc	12	W	5	S	5																													1							1				1															1													1	1	1	1																																																																																																																																																																3																					
413	Ring of Dwarven Gold	misc	10	E	5	F	5																																																							1																																																																																																																																																																																4																					
414	Helmet of Invisibility	helm	10	D	3				191																																																					1																																																																																																																															1	1																																																5																					
415	Champion's Trident	2-h wpn	12	F	5			135																																											1				1							1		25																																																																																																																																															1							1																																						1							
416	Champion's Cuirass	armor	12	F	5				200																																										1				1							1							1																																																																								5																																																																		1							1																																						1							
417	Champion's Helmet	helm	12	F	5				174																		4																								1				1							1					2		1																																																																																																																																										1							1																																						1							
418	Champion's Gladius	1-h wpn	12	F	5			588									2																																		1				1							1					1																																																																																																																																												1							1																																						1							
419	Golden Sandals	boots	12	F	5																									5																					1				1							1		25																																																																																																														6																																	1							1																																						1							
420	Ice Aegis	shield	2	W	2				225			5																																																																																																																																																										56																																					1																																																								
421	Ice Helmet	helm	2	W	1				226			5																																																																																																																																																										56																																																																																													
422	Ring of Returning	misc	6	S	3																																																																																																																																																																							1																																																																																							
423	The Heart of Quickness	misc	6	B	2	F	1					5	-5																						2																1											1																																																																																						2								1073741824																		12																																																																														1	1						
424	Boots of the Spider	boots	6	A	1																																		1	1	1	1																																																																																																																																																1	75																																																																								
425	Boots of Seven Mile Strides	boots	6	N	2																																																																																																																																																																									18																																																																																					
426	Crown of the Fire King	crown	8	F	4				212		25																								-1																											1				25																																												1																																																					1																						3															596																																																											
427	Crown of the Frost King	crown	8	W	4				212			25																																																		1				25																																																																																																	1																																					833											25																																																
428	The First Crown	crown	8	S	4	F	4		212																																																					1	50						5																																																																																														1																																																																								1													10											
429	Crown of Bones	crown	4	D	2				212																																																								75		-1																																																																																																1																																																																																																
430	Tome of the Forgotten Masons	misc	8	E	5	B	1																																																							1	10																																																																																																									1																																																																																											
431	God-Slayer Spear	1-h wpn	2	E	1			722																																																																																																																																						32	69																																																																																																																				
432	Boots of Water Walking	boots	0	W	1																																																																																																																																																																																																																																										1																				
433	Champion's Medal	misc	12	F	5																																														1				1							1		25			1																																																																																																																										1																		1							1																																						1							
434	Champion's Headband	crown	12	F	5				240																																										1				1							1		50			3		1																																																																																														1																																												1							1																																						1							
435	Oppressors Headband	crown	0	E	3				212																	-2																																																																																																																				69	102																				1																																																																																							1									
436	Purple Silk Garments	armor	2	S	1	W	1		244																	1				2																																																																																																																70																							1				-40	-60																																																																																									
437	Silver Silk Garments	armor	6	S	1	A	1		244																	2									2																																																																																																											70																							1				-40	-60																																																																																									
438	Windcatcher Sail	misc	4	A	2																																																																																																																																									70																																																																																																									1												
439	Golden Apple	misc	12	F	1																						2																																																																																																																																																																																																																		10																						
440	Eye of the Grey Ones	misc	14	D	1																																																																																																																																																																																								1																1																																	7																					
441	Salamander Silk Garments	armor	4	F	1				244		15															1																																											1																																																																									71																																																																																																																					
442	Holy Thing	misc	12	S	4																						4																												1																																																																									Divine Blessing																																																																																																																																			
443	Companion Bracelet	misc	4	A	2																																																		1							1																																																								4										Summon Qarin														33	72																																																																																																																				
444	Enchanted Salt	misc	4	E	1			761																																																																																																																																																																																																																																																											
445	Jinn Bottle	misc	6	A	2	E	1																																		1																									1																																																																												72																			3354																																																																																																		
