id	name	rarity	loc	level	path	F	A	W	E	S	D	N	B	gold	res	sup	unr	exp	lab	fort	scale1	scale2	domspread	turmoil	sloth	cold	death	misfortune	drain	fireres	coldres	shockres	poisonres	str	prec	mor	undying	att	darkvision	aawe	rit	ritrng	hmon1	hmon2	hmon3	hmon4	hmon5	voidgate	sum1	n_sum1	sum2	n_sum2	sum3	n_sum3	conj	alter	evo	const	ench	thau	blood	heal	disease	curse	horror	holyfire	holypow	scry	adventure	other	sum4	n_sum4	hcom1	hcom2	hcom3	hcom4	hcom5	mon1	mon2	mon3	mon4	mon5	com1	com2	com3	com4	com5	reveal	provdef1	provdef2	def	F2	A2	W2	E2	S2	D2	N2	B2	awe	reinvigoration	airshield	provdefcom	domconflict	sprite	nationalrecruits	natmon	natcom	throneclustering	wilddefenders	domconflict	rituallevelmodifier	callgodbonus	magicresistancebonus	bringgold	end
478	Moonlit Lake	1	4	2	Water			1		1																																																																																															18											
479	Oasis of the Dead	1	8	2	Water			1			1																																																																																														18											
480	Double Bottom Lake	1	2	2	Water			1				1																																																																																													18											
481	Merman Village	0	64	0	Water																																																																									1065					1067																						18											
482	Temple of the Sacred River	2	223	2	Water			1			1																																																																								1877	1878																					23											
483	Garden of Frozen Flowers	0	223	1	Water			1																																																																																																	20	56	204									
484	Wellspring of Secrets	0	223	3	Water			1																																																																																																	19											
485	Lake of Living Water	0	223	3	Water			1																																																																																																	18											
486	Subterranean Lake	1	512	1	Water			1																																																																																																	24											
487	Forgotten Oasis	1	8	1	Water			1								10																																																																																									17											
488	Plaguewater Oasis	1	8	1	Water						1																																																				5%																																										17											
489	Frozen Glen	1	2	1	Water			1																																																																																																	20											
490	Melting Cliffs	1	223	2	Water			1	1																																																																																																19											
491	Pool of Perpetual Night	1	16607	3	Water			1																																																																																																	18											
492	Enchanted Glacier	1	4	1	Water			1																																									2231	1																																																							18											
493	Wellspring of the Virgins	2	16607	1	Water			1																																																						3%																																											19											
494	Sign of Nodens	2	16450	3	Water			2																																																						3%																																											22											
495	Rune of Water	1	255	2	Water																																				W	2																																																															22											
496	Pharos	2	16448	1	Water																																				FAWESDNB	2																										2																																					21											
497	Tower of Ice	2	16396	6	Water			2											lab																						W	2																																																															21											
498	Tomb of Ice	5	16607	3	Water			1													Cold																																																																																				24											
499	Wellspring of Abundance	5	16607	5	Water			2						20	20						Growth																																																																																				19											
500	The Golden City	2	17440	0	Water									50	10																																																															1056																											23											
501	Mineral Cave	0	607	1	Earth				1																																																																																																32											
502	Earth Blood Seepage	0	735	1	Earth				2																																																																																																32											
503	Firbolg Fortress	1	223	2	Earth				2											4																																																																																					29											
504	Iron Cliff	0	197631	3	Earth				1																																																																																																26											
505	Canyon of Sand	1	197631	0	Earth				1																																																																																																30											
506	Mine of Superior Iron	0	4	0	Earth										60																																																																																										26											
507	Great Iron Mine	0	516	0	Earth										100																																																																																										26											
508	Great Gold Mine	0	516	0	Earth																																																																																																				26										100	
509	Great Silver Mine	0	516	0	Earth																																																																																																				26										60	
510	Hidden Gold Mine	0	516	1	Earth																																																																																																				26										100	
511	Gem Deposits	0	735	1	Earth									75																																																																																											26											
512	Gorge	0	516	1	Earth				1																																																																																																30											
513	Magma Cave	0	516	1	Earth	1			1																																																																																																32											
514	Standing Stones	1	223	1	Earth		1		1																																																																																																27											
515	Water Filled Cave	1	223	1	Earth			1	1																																																																																																32											
516	Chasm of Strange Lights	0	516	1	Earth				1	1																																																																																															30											
517	Cave of the Pale Ones	1	735	1	Earth				1		1																																																																			1465																											32											
518	Forest of Truffles	0	2	1	Earth				1			1																																																																																													28											
519	Entrance	2	735	1	Earth				1																																														20%																																																		30											
520	Tower of the Iron Order	2	223	1	Earth				3	2									lab																																																																477																						29											
521	Tower of the Iron Order	2	223	1	Earth				2	3									lab																																																																477																						29											
522	Tower of the Iron Order	2	223	1	Earth				2	2									lab																																																																477																						29											
523	Academy of High Magics	2	223	1	Earth				1			1							lab																																																																312	302																					29											
524	Twice Walled Tower	2	223	1	Earth				1	1																																																																									344																						29											
525	Archaic Fortress	2	223	1	Earth															3																																																																																					29											
526	Lost Vale of the Elders	2	4	2	Earth				1			1																																																																							345																						28											
527	Troll Pit	2	735	2	Earth																																																																									518																											32											
528	Troglodyte Den	2	735	3	Earth				1																																																																					447																											32											
529	Runaway Pit	2	735	3	Earth				1	2																																																																																															32											
530	Steel Swamps	1	16512	0	Earth			1	1						30																																																																																										28											
531	White Man Hill	1	16607	0	Earth							1				100					Growth																																																																																				27											
532	The Forgotten Fortress	1	16607	2	Earth				3		1									3																																																																																					29											
533	The Jervellan Wall	1	16607	1	Earth															3																																																																																					29											
534	Ten Thousand Things	1	735	1	Earth	1	1	1	1			1																																																																																													28											
535	The Broken Maze	1	16607	2	Earth				2	1																																																																																															30											
536	The Labyrinth	1	16607	2	Earth				2	2																																																																				234																											30											
537	The Chasm of Black Roses	1	16388	3	Earth				1		2	1																																																																																													30											
538	The Underworld	1	17119	3	Earth				3																																																																					447					345																						32											
539	The Statues of the Overlords	2	16607	0	Earth																Order	Productivity																			E	2																																																															27											
540	The Cornerstone	2	16607	3	Earth				4	1											Order																																																																																				31											
541	The Factory	2	16607	4	Earth				3																																								532	1																																																							29											
542	Castle Arcanum	1	16477	1	Earth	1			1											4																																																															312	875																					29											
543	Ancient Forge	2	735	1	Earth				1																																																	20%																																															26											
544	Chamber of Changes	2	735	1	Earth				1																																															20%																																																	32											
545	Circle of Standing Stones	2	735	1	Earth				1																																																		20%																																														27											
546	Conjurer's Cave	2	516	3	Earth				1																																														30%																																																		32											
547	The Statue of the Sitting God	0	16607	2	Earth					1											Order																																						20%																																														31											
548	The Jade Pagoda	2	16607	1	Earth			1	1	1																																																																									1894	808																					29											
549	The Imperial Quarry	0	214015	1	Earth				1																																																																																																26											
550	Dolmen	1	17119	1	Earth				1																																																																																																27											
551	Forest of Golden Leaves	2	16386	0	Earth	1			1			1																																																																																													28											
552	The Vaults Beneath	2	16607	3	Earth				1						150																																																																																										32											
553	The Deepest Mine	2	16900	2	Earth				4																																																																																																32											
554	The Sun Below	2	16904	4	Earth	4																																																																																																			32	31	2672									
555	Endless Caverns	2	516	2	Earth			1	1																																																																																																32											
556	Glowing Caverns	2	516	2	Earth			1				2																																																																																													32											
557	The Mosaic Desert	2	16392	2	Earth	1	1		1																																																																										2245																						27											
558	Villa of Ever Changing Fresques	2	16400	2	Earth	1	1		1	1		1																																																																																													29											
559	Bear Mountain	2	16388	0	Earth				2																																																																																																26											
560	The Cliff of Seven Directions	2	16388	3	Earth				1	1											Magic																																																																																				31											
561	Enchanted Tower	0	223	1	Earth				1																																																																																																29											
562	Earthroot Tower	1	223	1	Earth				1																																																																																																29											
563	Sulphur Cliffs	1	8	2	Earth	1			1																																																																																																27											
564	Snowcap Mountain	1	4	2	Earth			1	1																																																																																																26											
565	Thundertop Mountain	1	4	2	Earth		1		1																																																																																																26											
566	Meteorite Cliffs	1	223	2	Earth				1	1																																																																																															26											
567	Iron Tomb	1	516	2	Earth				1		1																																																																																														31											
568	Rock Forest	1	2	2	Earth				1			1																																																																																													28											
569	Ctonian Gate	2	735	2	Earth				3																																																																																																30											
570	Deep Crevasse	0	255	1	Earth				1																																																																																																30											
571	Mud Field	0	223	1	Earth				1																																																																																																27											
572	Quicksand	0	223	1	Earth				1																																																																																																27											
573	Stone Tree Grove	1	18	2	Earth				1																																																																																																28											
574	Flooded Mines	2	215	1	Earth				1		1																																																																																														25											
575	Underworld Entrance	2	223	3	Earth				2						20																																																																																										30											
576	Abyss	2	255	1	Earth				1																																																																																																32											
577	Heart of the Mountain	2	16388	3	Earth				2																																E	3																																																															32											
578	Basilisk Cave	2	223	2	Earth				1																																															20%																																																	32											
579	Rune of Earth	1	255	2	Earth																																				E	2																																																															31											
580	Halls of the Mountain King	5	16388	5	Earth				1																																																																																																32										50	
581	Ruined Halls of the Mountain King	5	16388	5	Earth																																																																																																				32											
582	City of the Ancients	5	16607	2	Earth																																																																10																																				29											
583	The World Pillar	2	16388	0	Earth		1		4																																																																																																31											
584	Library	1	223	0	Astral																																																																														478																						38											
585	Painted Cave	0	735	1	Astral					1																																																																																															41											
586	Maze	0	735	1	Astral					2																																																																																															41											
587	Monolith	1	223	2	Astral					2																																																																																															36											
588	Crystal Garden	0	735	3	Astral					1																																																																																															36											
589	Lake of Reflected Time	1	223	0	Astral					1																																																																																															37											
590	Strange Opening	1	735	1	Astral					2											Misfortune																																																																																				39											
591	Sages Guild	1	223	1	Astral					1									lab																																																																478																						38											
592	Abandoned Laboratory	1	735	1	Astral														lab																																																																																						38											
593	Crystal Flames	1	735	1	Astral	1				1																																																																																															36											
594	Mirror Palace	1	16607	1	Astral		1			1				25		25																																																																																									38											
595	Caves of Passing Time	1	735	1	Astral				1	1																																																																																															41											
596	Scrying Pool	2	735	1	Astral			1		1																																																										1																																					37											
597	Pyramid of Life	1	223	1	Astral					1	1																																																																																														40											
598	Totem Collection	1	223	1	Astral					1		1									Luck																																																																																				36											
599	Gateway	2	735	1	Astral					1																																													20%																																																		39											
600	Distortion	2	735	1	Astral					1																															FAWESDNB	2																		20%																																													36											
601	Nexus	2	735	1	Astral					1																															S	1																	20%																																														36											
602	Village of Strange Men	2	223	1	Astral					1																																														20%																																																	35											
603	The Ancient Master	1	16607	1	Astral													8																																																																																							35											
604	The Crystal Citadel	1	16607	2	Astral				1	1									lab	29																																																															340																						40											
605	Citadel of the Lore Masters	1	16607	2	Astral					2									lab																																																																479	478																					40											
606	The Metal Spires	2	16607	3	Astral					3									lab																																																																101	100	477																				36											
607	The Council of Sages	2	16607	1	Astral		1	1	1	1																																																																									479																						40											
608	Moon Mages Circle	2	16607	2	Astral					2	1																																																																								342																						35											
609	The Hidden Kingdom of Elludia	2	16607	2	Astral					3	1																																																																								630	629																					40											
610	The Grey Tower of Nexus	2	16607	3	Astral					3																																																																				390					391	106																					38											
611	The Ultimate Gateway	2	17119	3	Astral																																																		40%																																																		39											
612	Library of Time	2	16607	4	Astral					4																																																																									106					999																	40											
613	The Crystal Academy	2	17119	3	Astral				1	1									lab																																																																340																						38											
614	Temple of the All-Seeing Eye	2	17119	3	Astral																																																															1																																					40											
615	Hall of Enlightenment	2	16388	4	Astral					2																																																	30%																																														40											
616	Moonlit Pond of Pearls	2	223	2	Astral					3																																																																																															37											
617	Strange House in the Mist	2	16607	3	Astral					1																																						20%																																																									36											
618	The Cave of Souls	2	16900	1	Astral					2	1																																																																																														41											
619	The Mountain of the Past	2	16392	4	Astral					4																																																																																															36											
620	The Endless Field of Cubes	2	16392	4	Astral					4																																																							2%																																								36											
621	Enchanted Gate	0	735	1	Astral					1																																																																																															39											
622	Skywatch Tower	1	223	1	Astral					1																																																																																															38											
623	Nightlight Fen	1	128	2	Astral	1				1																																																																																															36											
624	Moon Mirror	1	223	2	Astral		1			1																																																																																															35											
625	Mooncatch Lake	1	223	2	Astral			1		1																																																																																															37											
626	Mountain Crater	1	4	2	Astral				1	1																																																																																															34											
627	Painted Crypt	1	735	2	Astral					1	1																																																																																														40											
628	Moonvine Forest	1	2	2	Astral					1		1																																																																																													37											
629	Huge Crater	5	197119	0	Astral				1	1																																																																																															36											
630	The Forgotten City	2	16607	3	Astral																																																												2%				10																																				40											
631	Unfound Door	0	255	4	Astral					1																																																																																															39											
632	Starlit Pond	0	215	1	Astral					1																																																																																															37											
633	Garden of Pearls	0	215	2	Astral					2																																																																																															34											
634	Impossible Angle	1	223	2	Astral					1																																																							4%																																								39											
635	Moonlit Halls	1	223	1	Astral					1																																																																																															35											
636	Brook of Glimmering Pearls	1	215	1	Astral			1		1																																																																																															37											
637	Seer's Grave	2	767	2	Astral					1																																																																														3																	36											
638	Dreaming Stone	2	767	2	Astral																																				S	2																																														3																	36											
639	Sorcerer's Circle	2	223	2	Astral																																				SDNB	2																		20%																																													38											
640	Archaic Diagram	2	255	2	Astral																																																				20%																																																36											
641	Chamber of Enchantment	2	223	2	Astral														lab																																								20%																																														39											
642	Unsettling Pattern	2	255	2	Astral																																																							20%					5%																																								36											
643	Basalt Mirror	2	255	2	Astral																																																															1																																					36											
644	Cave of the Sleepers	2	16607	4	Astral					1																																																																																															41											
645	The Gnomon	2	16607	2	Astral					1																															S	3																																																															36											
646	Seventh House on the Left	2	16607	3	Astral						1																																																		20%																																												36											
647	The Halfway Inn	1	16607	0	Astral									10																																																																																											43											
648	Citadel of the Mage King	2	16398	6	Astral					1									lab	1																					SDNB	2																																																															40											
649	Horror Cult	5	223	5	Astral																																																												3%																																								39											
650	Ancient Scriptorium	5	16607	2	Astral														lab																																																																																						38											
651	Secluded Village	5	223	1	Astral																																												971	1	970	2	968	1																	969	1																																	35											
652	Guild of the Merchant Princes	2	17472	0	Astral									30																																																																										0																	35											
653	Battlefield	0	735	1	Death						1																																																																																														43											
654	Burial Mound	0	223	1	Death						1																																																																																														41											
655	Graveyard of the Damned	0	223	1	Death						2																																																																																														41											
656	Cave of Ghouls	1	735	2	Death						2																																						198	3																																																							48											
657	Well of Pestilence	0	223	3	Death						1										Death																				D	2																					5%																																										48											
658	Haunted Village	1	223	0	Death						1																																																																																														42											
659	Gallows	1	223	1	Death						1																																																																																														42											
660	Broken Tower	1	223	1	Death						2																																																																																														45											
661	Forest of the Dead	0	2	1	Death						1																																																																																														44											
662	Ashen Forest	1	10	2	Death						1																																																																																														44											
663	Banefire Braziers	1	735	1	Death	1					1										Heat	Death																																																																																			47	93		1095								
664	Windswept Catacombs	1	223	1	Death		1				1																																																																																														41											
665	Crypt in the Sand	1	223	1	Death				1		1																																																																																														47											
666	Witches Bog	0	134	1	Death			1			1																																																																																														44											
667	Catacombs	1	735	1	Death					1	1																																																																																														47											
668	Overgrown Graveyard	1	223	1	Death						1	1																																																																																													47											
669	Marble Mausoleum	2	735	1	Death						1																																												20%																																																		47											
670	Raven Oak	2	223	1	Death						1	1																																																																																													41											
671	Black Tower	2	223	2	Death						3								lab																																																																95	94																					45											
672	Death Mound Downs	2	223	2	Death						2																																																																								310																						47											
673	Statue of Death	2	735	3	Death						2																																																																																														41											
674	Chillsick Swamp	1	16514	1	Death			1			1	1																																																			5%																																										44											
675	Leper Fens	1	16513	1	Death			1			2																																																				10%																																										44											
676	Grayshade Forest	1	16386	1	Death						3																																																																								310																						44											
677	Litter Skull	1	17119	2	Death						4																																						197	3																																	310																						43											
678	The Crypt Underneath	1	17119	2	Death						3																																												20%																																																		48											
679	Flesh Garden of Mortal Remains	1	16607	3	Death						2	1																																																																																													43											
680	The Bowl of the Lost	1	16607	3	Death						1																																						185	1																																																							47											
681	Skull Temple	2	16607	0	Death						1																																						535	1	189	1																																																					47											
682	Tomb of the Ancients	2	16388	3	Death						4																																																																																														46											
683	The Shaded Lands	2	16607	0	Death						3						10																																676	1																																																							46											
684	The City of a Thousand Wonders	2	16607	1	Death	1					2									4	Death																																																10																																				47											
685	The Mausoleum of the Great Sarlah	2	16607	2	Death						3																																						433	2																																																							47											
686	The Charnel House	2	16607	3	Death		1			1	2										Turmoil																																																																																				47											
687	The Shadow Furnace	2	17119	4	Death	1					4																																																																																														47											
688	Halls of the Dead	2	735	1	Death						1																																																20%																																														47											
689	Banefire Forge	2	735	1	Death	1					1																																															20%																																															47											
690	Crown of Darkness	2	16388	4	Death						3																																																	40%			10%																																										45											
691	The Obsidian Sphere	2	16396	3	Death																																																															1																																					45											
692	The Draining Stone	2	16392	3	Death				1		3										Drain	Death																																																																																			46											
693	Well of Darkness	2	735	2	Death						3																																																																																														46											
694	Enchanted Tomb	0	735	1	Death						1																																																																																														47											
695	Bonedoor Tower	1	223	1	Death						1																																																																																														45											
696	Flaming Tomb	1	735	2	Death	1					1																																																																																														47											
697	Shademist Swamp	1	128	2	Death		1				1																																																																																														44											
698	Plaguewater Stream	1	735	2	Death			1			1																																																				3%																																										44											
699	Valley of the Dead	1	8	2	Death				1		1																																						625	1																																																							43											
700	Silver Sarcophagus	1	735	2	Death					1	1																																																																																														47											
701	Carrion Thicket	1	2	2	Death						1	1																																					715	1	716	1																																																					43											
702	The City of the Damned	2	16607	2	Death																																																											1%					7																																				47											
703	Labyrinth of Skulls	0	223	1	Death						1																																																																																														47											
704	Garden of Bones	0	223	1	Death						1																																																																																														43											
705	Lilium Vale	0	95	2	Death						1																																																																																														44											
706	Murder Bog	1	130	2	Death						1																																																																																														44											
707	Swamp of Shadows	1	128	1	Death						1																																																																																														44											
708	Murdering Mire	1	223	2	Death						1																																																																																														44											
709	Animal Cemetery	1	219	2	Death																																												715	2	716	1																																																					43											
710	Gloom Gate	1	255	3	Death						2																														D	2																																																															48											
711	Tomb of the Grand Thaumathurg	2	16479	3	Death						1																														D	2																																																															47											
712	Sigil of the Ancients	2	16639	3	Death																																				D	3																																																															46											
713	Circle of Sending	2	223	2	Death																																				FAWESDNB	2																							2%																																								41											
714	Nidus of Power	2	255	2	Death																																																							20%																																													41											
715	Conjurer's Circle	2	223	2	Death																																																		20%																																																		41											
716	Plague Barrow	2	223	1	Death						1																																																				2%																																										43											
717	Pit of Despair	2	16607	1	Death						1						-5																																																																																								48											
718	Imperial Tomb	5	1247	2	Death						1																																																																																														47											
719	Blackrose Tower	1	16386	1	Death						1	1																																																																							2362																						45											
720	Dusk Spiral	1	16386	1	Death						1	1																																																																							2361																						45											
721	Necromancer's Lair	2	16398	6	Death						2								lab																						D	2																																																															45											
722	Oath Stone	1	16607	6	Death																																																																																				2190																41											
723	Withered Land	5	16607	1	Death						1										Death																																																																																				44											
724	Hall of the Draugadrott	5	223	2	Death																																																																																																				47											
725	Cult of Death	5	16607	5	Death																Death																																																																																				42											
726	Spirit Pact	5	223	3	Death																																																																																				674	675															48											
727	Ruins of the Old Empire	1	1247	0	Death						1																																																																																														47											
728	Ancient Temple of C'tis	1	1152	0	Death						1																																																																																														47											
729	Cave of Dark Rites	1	735	2	Death						2																																																																																														48											
730	Temple of Darkness	1	735	2	Death						1																																						675	1	676	1																																																					47											
731	Inkpot End	1	16607	0	Death												5																																														5%																																										44											
732	Flesh Eater's Isle	1	16607	2	Death																																												198	5																																																							49											
733	Tower of Seven Tombs	1	16607	3	Death						2																																						1981	1																																																							45											
734	Glen of Verdant Greenery	0	223	1	Nature							1																																																																																													50											
735	Forest of Delights	0	2	1	Nature							2																																																																																													50											
736	Farm of Plenty	0	223	1	Nature											50																																																																																									51											
737	Garden of Weeping Roses	1	223	2	Nature							2																																																																																													50											
738	Grove of Evergreens	0	223	3	Nature							1																																																																																													50											
739	Wild Forest	0	2	0	Nature							1																																																																																													50											
740	Bile Marsh	0	128	1	Nature																																																																									1840																											52	81	1859									
741	Hidden Forest	1	2	1	Nature							1																																																																							154																						51											
742	Stone Circle	0	223	1	Nature							1																																																																							105																						51											
743	Woodhenge	1	223	1	Nature							1																																																																							105																						51											
744	Animist's Hut	1	2	1	Nature							1																																																																							552																						58											
745	Fields of the Fire Flies	1	223	1	Nature	1						1																																																																																													51											
746	Whispering Woods	0	2	1	Nature		1					1																																																																							364																						51											
747	Hidden Valley	1	223	1	Nature				1			1																																																																																													51											
748	Forest of a Thousand Streams	1	223	1	Nature			1				1																																																																							364																						50											
749	Endless Forest	0	2	1	Nature					1		1																																																																																													50											
750	Dying Forest	0	2	1	Nature						1	1									Death																																																																																				51											
751	Cottage in the Woods	1	2	2	Nature							1																																																																							1182																						58											
752	Wormwood Marsh	1	130	0	Nature							1																																																																																													52											
753	Hall of Ancient Oaks	2	223	1	Nature							1																																															20%																																														54											
754	Flower Swamp	1	128	1	Nature							1																																																																							363																						52											
755	Mandrake Gallows	2	223	2	Nature						1	2																																																																																													54											
756	Jungle Temple	2	2	2	Nature				1			2																																					394	1																																																							55											
757	Maze of Thorn Hedges	2	223	3	Nature					2		1																																																																																													51											
758	Horses Vale	1	49375	0	Nature																																																																									450					451						450																50											
759	The Cedar Pillars	1	16607	1	Nature		1					2																																															30%																																														50											
760	The Mammoth Forest	1	16386	0	Nature							3																																																																																													50											
761	The Flowering Forest	1	16386	1	Nature							1				100																																																																			363																						50											
762	The Cedar Forest	1	49154	1	Nature							2			40																																																																																										50											
763	Moonvine Circle	1	16607	1	Nature					1		1																																																																							338																						58											
764	The Crown Woods	1	16386	1	Nature							1			40																																																																																										50											
765	Gateward Valley	1	16607	1	Nature																																																														10%											365																											50											
766	The Motheroak	1	16607	1	Nature							2																													N	2																																									154																						54											
767	Forest of Avendron	1	16386	2	Nature				2			3																																																																							154																						50											
768	Animist's Tower	1	16386	2	Nature							2																																																																							552																						53											
769	Vale of the Silver Cattle	1	16607	2	Nature									40		200					Growth																																																																																				51											
770	Forest of the Ape King	1	16386	3	Nature							1		50																																																																																											50											
771	The Sacred Glen	1	16607	3	Nature							1																																																						20%																																							51											
772	The Shrouded Lands	1	16607	3	Nature		2			2		2				100					Growth																																																																																				58											
773	The Gate of Deeper Slumber	2	16607	1	Nature							2									Sloth																																																																																				51											
774	The Land of Pleasures Unattained	2	16607	3	Nature		1		1			1									Turmoil																																																																																				51											
775	Soul of the Wild	2	16607	4	Nature							5																																																20%																																													51											
776	Wolven Gate	2	223	1	Nature							1																																											20%																																																		51											
777	Twisting Woods	2	2	1	Nature							1																																												20%																																																	51											
778	Ancient Forest	2	2	1	Nature							2																																																																																													50											
779	The Vale of Unicorns	2	16386	4	Nature							3																																																																																													51	47	64	2128								
780	Forest of Splendor	2	16386	2	Nature		1					1					-5																																																																																								50											
781	The Snake Collector	2	16512	3	Nature						1	1																																																																																													55											
782	Shrine of the Wild	2	223	2	Nature							3																																																																																													55											
783	Oak of Ages	2	16607	3	Nature							3																																															40%																																														54											
784	The Valley of Shame	2	16607	1	Nature							1									Turmoil	Sloth																																																																																			51											
785	The Previous Forest	2	16392	4	Nature							4																																																																																													51											
786	Thorn Wood Heights	1	16386	1	Nature							2																																																																							1182																						51											
787	Poison Glades	1	16386	1	Nature						2	1																																																																							1182	310																					52											
788	Lyfjaberg	5	16388	0	Nature				1			1																																																		50%																																											51											
789	Enchanted Field	0	223	1	Nature							1				50																																																																																									51											
790	Oakwood Tower	1	223	1	Nature							1																																																																																													53											
791	Grove of Revelry	2	2	2	Nature							1																																																																							1880																						51											
792	Tinderwood Forest	1	2	2	Nature	1						1																																																																																													50											
793	Mist Forest	1	2	2	Nature		1					1																																																																																													51											
794	Flowering Bog	1	128	2	Nature			1				1																																																																																													52											
795	Evergreen Mountain	1	4	2	Nature				1			1																																																																																													51											
796	Oak of Memories	1	2	2	Nature					1		1																																																																																													54											
797	Maggot Woods	1	2	2	Nature						1	1																																																																																													51											
798	Telesterion	2	2	2	Nature				1			1																																																																							1875	1876																					55											
799	Wolf Oak	0	223	1	Nature							1																																																																																													54											
800	Grove of Fertility	0	215	1	Nature							1																																																																																													51											
801	Druid's Grave	0	223	2	Nature							1																																																																																													54											
802	Lair of Spiders	2	2	1	Nature							1																																					782	2																																																							55											
803	Skin Shifter's Barrow	2	223	1	Nature							1																																																																																													58											
804	The Frogmarch	1	16512	1	Nature							1																																					2222	2																																																							52											
805	Heart of the Forest	2	16386	3	Nature							2																													N	3																																																															54											
806	Field of Golden Rye	1	16	1	Nature							1		20																																																																																											51											
807	Withering Woods	2	2	1	Nature						1	1																																																																																													52											
808	Grove of Hooded Spirits	2	2	3	Nature							1									Growth																																									3%																																											54											
809	Fungus Forest	1	719	1	Nature							1																																																																																													56											
810	Birdsong Tower	2	17119	1	Nature																																				N	2																																														0																	53											
811	The Crone	2	16607	2	Nature																																																											10%																								0																	58											
812	Thorn Maze	1	95	2	Nature							1																													N	2																																																															51											
813	Earthroot Grove	2	18	1	Nature							1																													N	2																																																															56											
814	Starsong Grove	2	16386	3	Nature					1																															S	3																																																															51											
815	Tree of Life	2	16599	2	Nature																																																									3%																																											54											
816	Tree of Knowledge	2	16607	2	Nature													8																																														4%																																									54											
817	Tower of the Moon	2	16607	2	Nature																																												1224	1																																																							53											
818	Vale of Healing Herbs	2	199	2	Nature																																																									2%																																											51											
819	Hoburg Holdfast	2	3088	0	Nature																																																																									271	273				272						273																49											
820	Hoburg Settlement	2	16	0	Nature																Growth																																																									483					1198																						49											
821	Barbarian Warcamp	5	14	0	Nature																																																																									139	140				147	141																					49											
822	Ancient Ruin	1	223	0	Nature																																												2223	2																																																							58											
823	The Wormwood Tower	1	16386	3	Nature		1				1	1																																																																							2358																						53											
824	Dusk Spiral	1	16386	1	Nature						1	1																																																																							2361																						53											
825	Tower of Thorns	2	16386	6	Nature							2							lab																						N	2																																																															58											
826	Toad Tribe Settlement	5	128	0	Nature																																																																									1613					1614						1613																55											
827	The Primal Forest	5	16386	0	Nature							3																																					932	1																																																							51											
828	Grove Unpleasant	2	223	2	Nature						1	1																																					716	1	715	1	313	1																																																			51											
829	Cursed Land	5	223	0	Nature																Magic																																											2%																																									52											
830	Arena	0	223	0	Blood									25																																																																																											59											
831	Brigand Lair	0	223	1	Blood												5																																																													482																											59											
832	Academy of War	1	223	0	Blood													4																																																																																							64											
833	Damned Merchant	1	223	1	Blood								1																																																																																												59											
834	Fields of Blood	1	1	1	Blood						1																																																																																														63											
835	Blood Henge	2	223	1	Blood							1																																																																							122																						63											
836	Ebony Tower	2	223	2	Blood					1	3								lab																																																																339																						62											
837	Summoning Circle	2	735	3	Blood																																																								30%																																												63											
838	Gore Swamps	1	16512	1	Blood						1	1																																																																																													61											
839	Mount Chaining	1	16607	1	Blood																																																								30%																																												60											
840	The Vale of Infinite Horror	1	16607	1	Blood												5				Misfortune																																												1%																																								60											
841	The Blood Keep	1	16388	1	Blood								1							4																																																										1353					1389																						62											
842	Devil's Den	1	16607	2	Blood												15																																304	1																																																							65											
843	The Ebony Circle	2	16607	2	Blood					1	3								lab																						B	2																																									339																						62											
844	The Demon Gate	1	16607	3	Blood												10																																88	1																																																							65											
845	The Prison of Hearts	1	16607	3	Blood									40			5																																																																																								62											
846	The Mountain of Power	2	16392	2	Blood								3																												FAWESDNB	2							403	1							30%																																																60											
847	Hall of Flayed Skins	2	16607	4	Blood					2	2																																																						5%																																								62											
848	Assassins Guild	2	223	1	Blood																																																																														428																						62											
849	Haunted Torture Chamber	2	735	2	Blood						1																																																					5%																																									62											
850	The Blood Rock	2	16388	3	Blood																																																								30%																																												60											
851	Forest of Pain	2	16386	2	Blood							1					5																																																1%																																								61											
852	Red Forest	2	16386	1	Blood	1						1																																																																																													61											
853	Bloodleaf Forest	1	2	1	Blood							1																																																																																													61											
854	Bloodstone Mountain	1	4	1	Blood				1																																																																																																60											
855	Bloodwind Waste	1	8	1	Blood		1																																																																																																		63											
856	Bloodsucker Fens	1	128	1	Blood			1																																																																																																	61											
857	Bloodmarble Mausoleum	1	735	1	Blood						1																																																																																														64											
858	Bloodsplatter Pattern	1	735	1	Blood					1																																																																																															63											
859	Torture Tower	1	16	1	Blood															2																																													3%																																								62											
860	Bloodshade Glen	2	16514	2	Blood							1																																											15%						20%																																												61											
861	The Slaughterhouse	2	16607	2	Blood																																												460	1	198	1	435	1																																																			59											
862	The Lodge	2	16607	2	Blood								1																																																																						428	94	95																				59											
863	Pool of Unhealthy Rites	2	735	2	Blood			1			1																																													20%							3%																																										63											
864	Bloodstone Mirror	2	223	2	Blood																																																							20%								1																																					63											
865	Tower of the Devil's Bride	1	16607	1	Blood												5																																303	1	2286	1	2287	1																																																			62											
866	Slave Market	1	735	0	Blood								3				2																																																																																								59											
867	Forgotten Village	0	2	1	Blood								1																																																																																												59											
868	Sacrificial Grove	1	18	1	Blood																																																								20%																																												61											
869	Bleeding Tree	2	2	1	Blood							1																																																																																													61											
870	Stained Altar	2	16607	1	Blood																																												1736	1											20%																																												63											
871	Pentagram	1	223	2	Blood																																				B	2																																																															63											
872	The First Gate	1	17119	1	Blood																																																								10%																																												65											
